day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long,Cluster
Sunday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R4,-5.1257155,119.5040112,7
Friday,Morning,kemauan v makassar,makassar,TM,adolescent,LK,R2,-5.1399353,119.4322832,1
Monday,Night,ratulangi,mariso,TK,adult,PR,R4,-5.1545546,119.4162759,3
Thursday,Night,perintis kemerdekaan,biringkanaya,TM,adult,PR,R2,-5.0934582,119.5134093,6
Monday,Night,monginsidi,ujung pandang,TK,adult,LK,R4,-5.1479402,119.4186723,3
Sunday,Morning,andi pangerang pettarani,rappocini,TK,adult,LK,R2,-5.1565899,119.4369069,8
Tuesday,Night,veteran selatan,makassar,TM,adolescent,LK,R2,-5.1673416,119.4198624,0
Sunday,Night,sultan alauddin,rappocini,TL,NOV,NOV,R6,-5.1847014,119.4408542,2
Monday,Night,aroepala,rappocini,TL,NOV,NOV,R4,-5.176439,119.4573487,2
Tuesday,Morning,andi pangerang pettarani,rappocini,TK,adolescent,LK,R2,-5.1565899,119.4369069,5
Monday,Night,perintis kemerdekaan,tamalanrea,TK,adolescent,LK,R2,-5.1257155,119.5040112,11
Monday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R2,-5.0934582,119.5134093,7
Wednesday,Night,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112,2
Wednesday,Morning,boulevard,panakukang,TK,adult,LK,R6,-5.15694815,119.44655432802904,8
Monday,Night,sultan alauddin,tamalate,TK,adult,LK,R2,-5.1740774,119.4312419,7
Thursday,Night,baji gau,mamajang,TL,NOV,NOV,R4,-5.1709153,119.4137925,2
Thursday,Morning,sunu,tallo,TK,adult,LK,R2,-5.1247334,119.4296097,8
Friday,Night,yusuf dg ngawing,rappocini,TL,NOV,NOV,R2,-5.1659631,119.4372775,10
Friday,Night,metro tanjung bunga,mariso,TM,adolescent,LK,R4,-5.1503551,119.4065236,0
Friday,Night,rappocini raya,rappocini,TK,adult,LK,R2,-5.1585335,119.4337899,7
