NO,HARI,TGL,JAM,JALAN,KECAMATAN,JENIS KECELAKAAN,UMUR,JENIS KELAMIN,KENDARAAN TERSANGKA
2302,Thursday,6/27/2019,1:00, Gunung Latimojong,Makassar,TK,adult,LK,R2
2303,Friday,6/28/2019,21:30, Tupai,Mamajang,TK,adult,LK,R2
2304,Friday,6/28/2019,9:00, Arief Rate,Ujung Pandang,TL,NOV,LK,R2
2305,Thursday,6/27/2019,16:30,Abd KADIR,Tamalate,TM,adolescent,LK,R2
2306,Friday,6/28/2019,13:00, Slamet Riyadi,Ujung Pandang,TL,NOV,NOV,R2
2307,Saturday,6/29/2019,17:10, Rappocini 9,Rappocini,TL,NOV,NOV,R4
2308,Saturday,6/29/2019,23:30, Sudirman,Ujung Pandang,TK,adult,LK,R4
2309,Sunday,6/30/2019,2:00, Borong Raya,Manggala,TL,NOV,PR,R2
2310,Monday,7/1/2019,15:00,Urip Sumuharjo,Panakkukang,TL,NOV,PR,R2
2311,Saturday,6/29/2019,21:00, Kima Raya II,Biringkanaya,OC,adult,PR,R2
2312,Friday,6/28/2019,17:45,Urip Sumuharjo,Bontoala,TL,NOV,LK,R4
2313,Sunday,6/30/2019,12:30, Pajaiang,Biringkanaya,TK,adolescent,NOV,R2
2314,Monday,7/1/2019,15:30, Sudirman,Ujung Pandang,TK,adult,LK,R4
2315,Tuesday,7/2/2019,9:30, AR Daeng Ngunjung ,Tallo,TM,adult,PR,R4
2316,Friday,6/28/2019,8:30, Perintis Kemerdekaan,Tamalanrea,TM,adult,LK,R2
2317,Monday,7/1/2019,4:30,Urip Sumuharjo,Panakkukang,OC,adult,LK,R4
2318,Tuesday,3/5/2019,20:00,Urip Sumuharjo,Panakkukang,TL,NOV,NOV,R2
2319,Wednesday,7/3/2019,22:30, Veteran Selatan,Mamajang,TM,adolescent,NOV,R2
2320,Sunday,6/30/2019,1:30, Jipang Raya,Rappocini,TK,adult,NOV,R2
2321,Saturday,6/29/2019,11:10, Moha,Manggala,TL,NOV,LK,R2
2322,Tuesday,7/2/2019,6:10, Sultan Alauddin,Tamalate,TM,adult,LK,R4
2323,Thursday,7/4/2019,20:15, Tol Reformasi,Tallo,TL,NOV,PR,R10
2324,Friday,7/5/2019,14:15, Pintu Bandar Udara Internasional Sultan Hasanuddin,Biringkanaya,TL,NOV,LK,R4
2325,Saturday,7/6/2019,2:30,Urip Sumuharjo,Makassar,TK,adult,lk,R2
2326,Friday,7/5/2019,16:30, Daeng Regge,Tallo,TM,adult,LK,R4
2327,Saturday,7/6/2019,4:30, Tinumbu,Bontoala,TL,NOV,LK,R2
2328,Sunday,7/7/2019,11:30, Perintis Kemerdekaan,Tamalanrea,TM,adolescent,LK,R2
2329,Thursday,7/4/2019,8:30, Tamalate I,Rappocini,TL,NOV,PR,R2
2330,Friday,7/5/2019,2:48,Dokter Leimena,Panakkukang,TL,NOV,NOV,R4
2331,Sunday,7/7/2019,16:00, Sunu,Tallo,TL,NOV,LK,R2
2332,Monday,7/8/2019,16:00, Sudirman,Ujung Pandang,TM,adolescent,LK,R2
2333,Monday,7/8/2019,18:30, Metro Tanjung Bunga,Mariso,TL,NOV,LK,R2
2334,Tuesday,7/9/2019,3:00, Sam Ratulangi,Mamajang,TL,NOV,LK,R4
2335,Friday,7/5/2019,11:00, Perintis Kemerdekaan,Biringkanaya,TK,adult,NOV,R2
2336,Monday,7/8/2019,7:30,Puri Kencana Sari,Tamalanrea,TL,NOV,LK,R4
2337,Tuesday,7/9/2019,23:30, Antang Raya,Manggala,TK,adolescent,PR,R2
2338,Tuesday,7/9/2019,3:00, Perintis Kemerdekaan,Tamalanrea,TK,child,LK,R2
2339,Wednesday,7/10/2019,14:00, Inspeksi Kanal,Manggala,TL,NOV,NOV,R2
2340,Wednesday,7/10/2019,22:30, Inspeksi PAM,Manggala,TL,NOV,LK,R2
2341,Wednesday,7/10/2019,13:15, Kima Raya II,Biringkanaya,TK,adult,LK,R2
2342,Friday,7/12/2019,1:30,Perintis Kemerdekaan,Biringkanaya,TK,adult,LK,R2
2343,Wednesday,7/10/2019,23:40,Urip Sumuharjo,Panakkukang,TK,adolescent,LK,R2
2344,Friday,7/12/2019,10:45,ANDI PANGERANG PETTARANI,Makassar,TL,NOV,NOV,R4
2345,Wednesday,6/26/2019,15:00,ANDI PANGERANG PETTARANI,Tamalate,TL,NOV,LK,R2
2346,Friday,7/12/2019,17:00, Toddopuli Raya,Panakkukang,TK,adult,LK,R4
2347,Sunday,7/14/2019,14:15, Perintis Kemerdekaan,Tamalanrea,TK,adult,NOV,R4
2348,Sunday,7/7/2019,13:35, Maccini Sawah,Makassar,TL,NOV,NOV,R4
2349,Sunday,7/14/2019,0:30, Pengayoman,Panakkukang,TL,NOV,NOV,R3
2350,Sunday,7/14/2019,0:30, Nuri,Mariso,TK,adolescent,LK,R2
2351,Sunday,7/14/2019,16:00, Insinyur Sutami,Biringkanaya,TL,NOV,LK,R4
2352,Sunday,7/14/2019,0:30, Sunu III,Tallo,TK,adolescent,LK,R2
2353,Saturday,7/13/2019,19:30, Kerung-Kerung,Makassar,TK,adolescent,PR,R2
2354,Friday,7/12/2019,20:30, Minasa Upa,Rappocini,TK,child,LK,R2
2355,Friday,7/5/2019,22:30, Profesor Abdurrahman Basalamah,Panakkukang,TB,adolescent,LK,R2
2356,Sunday,7/14/2019,21:35, Kapasa Raya,Tamalanrea,TK,adolescent,NOV,R2
2357,Tuesday,7/16/2019,9:15,Urip Sumuharjo,Bontoala,TM,adolescent,LK,R2
2358,Monday,7/15/2019,2:30, Perintis Kemerdekaan,Tamalanrea,TK,adolescent,LK,R2
2359,Saturday,7/13/2019,15:00, Tamalanrea Raya,Tamalanrea,TK,adolescent,LK,R2
2360,Tuesday,7/16/2019,10:00, Pajaiang,Biringkanaya,TL,NOV,LK,R2
2361,Tuesday,7/16/2019,12:45, Profesor Abdurrahman Basalamah II,Panakkukang,TL,NOV,LK,R2
2362,Tuesday,7/16/2019,6:45, Sudirman,Ujung Pandang,TK,adult,PR,R2
2363,Monday,5/27/2019,11:30, Pajaiang,Biringkanaya,TK,adult,PR,R6
2364,Saturday,7/13/2019,16:00,Urip Sumohardjo,Panakkukang,TL,NOV,LK,R2
2365,Friday,7/19/2019,17:40, Permata Sudiang Raya,Biringkanaya,TM,adult,LK,R4
2366,Thursday,7/18/2019,19:00, Perintis Kemerdekaan,Tamalanrea,T,adult,LK,R2
2367,Friday,7/19/2019,8:20, Tamalanrea Raya,Tamalanrea,TL,NOV,LK,R2
2368,Saturday,7/20/2019,20:00, Yusuf Dg. Ngawing,Rappocini,TK,adolescent,LK,R2
2369,Saturday,7/20/2019,17:35, Inspeksi Kanal,Manggala,TL,NOV,LK,R2
2370,Sunday,7/21/2019,4:45, Batua Raya,Panakkukang,TK,adult,NOV,R2
2371,Saturday,7/20/2019,11:00,Bitoa Lama,Manggala,TK,adult,LK,R3
2372,Saturday,7/20/2019,12:30, Bonto Mangape,Tamalate,TL,NOV,LK,R2
2373,Saturday,7/20/2019,22:40, Kapasa Raya,Tamalanrea,TK,child,PR,R2
2374,Friday,7/19/2019,13:30,Urip Sumuharjo,Panakkukang,TL,NOV,NOV,R4
2375,Monday,7/22/2019,17:00, Teuku Umar Raya,Tallo,TL,NOV,LK,R2
2376,Sunday,7/21/2019,21:00, Penghibur,Ujung Pandang,TL,NOV,LK,R2
2377,Monday,7/22/2019,16:00, Antang Raya,Manggala,TL,adult,LK,R4
2378,Wednesday,7/10/2019,15:30,Urip Sumuharjo,Panakkukang,TL,NOV,LK,R4
2379,Monday,7/22/2019,17:30, Perintis Kemerdekaan,Tamalanrea,OC,adolescent,LK,R2
2380,Monday,7/22/2019,23:30, Perintis Kemerdekaan,Tamalanrea,TK,adolescent,LK,R2
2381,Monday,7/22/2019,10:30, Nuri,Mariso,TL,NOV,LK,R2
2382,Tuesday,7/23/2019,14:00, Anggrek,Mariso,TM,adolescent,LK,R2
2383,Monday,7/22/2019,10:45, Nipa Nipa,Manggala,TL,NOV,LK,R2
2384,Wednesday,7/24/2019,15:30, Gunung Bawakaraeng,Ujung Pandang,TL,NOV,NOV,R4
2385,Tuesday,7/23/2019,21:00, Borong Raya,Manggala,TK,adult,LK,R2
2386,Wednesday,7/24/2019,22:00, Borong Raya,Manggala,TK,adolescent,LK,R2
2387,Thursday,7/25/2019,3:00, Boulevard,Panakkukang,TK,adolescent,LK,R4
2388,Saturday,7/20/2019,10:00, Kapasa Raya,Tamalanrea,TK,adult,NOV,R4
2389,Saturday,7/20/2019,13:15, Perintis Kemerdekaan,Biringkanaya,TK,adult,LK,R2
2390,Saturday,7/20/2019,15:45, Insinyur Sutami,Tamalanrea,TK,adult,NOV,R4
2391,Thursday,7/25/2019,12:30, Sultan Alauddin,Tamalate,TL,NOV,PR,R4
2392,Wednesday,7/24/2019,19:00, Dokter Leimena,Panakkukang,T,child,LK,R2
2393,Thursday,7/25/2019,20:40, Perintis Kemerdekaan,Biringkanaya,TK,adolescent,LK,R2
2394,Friday,7/26/2019,6:45, Perintis Kemerdekaan,Tamalanrea,TK,adult,LK,R2
2395,Friday,7/26/2019,23:30, Gunung Latimojong,Makassar,TK,child,LK,R2
2396,Friday,7/26/2019,18:00, Pelita II,Rappocini,TK,adolescent,LK,R2
2397,Saturday,7/27/2019,0:30,Urip Sumuharjo,Panakkukang,TM,adult,LK,R2
2398,Saturday,7/27/2019,10:00, Andi Mangerangi II,Tamalate,TK,adult,LK,R2
2399,Wednesday,7/24/2019,19:30,Tol Reformasi,Tallo,TL,NOV,LK,R3
2400,Thursday,7/25/2019,20:20, Sudirman,Ujung Pandang,TK,adolescent,LK,R2
2401,Friday,7/26/2019,13:20, Sudirman,Ujung Pandang,TK,adult,LK,R2
2402,Friday,7/26/2019,13:00, Pajaiang,Biringkanaya,TK,adult,LK,R2
2403,Monday,7/29/2019,20:30, Perintis Kemerdekaan,Biringkanaya,TK,child,LK,R2
2404,Sunday,7/28/2019,6:00, Perintis Kemerdekaan,Biringkanaya,TL,NOV,NOV,R4
2405,Sunday,7/28/2019,17:30, Kapasa Raya,Tamalanrea,TK,adult,LK,R2
2406,Monday,7/29/2019,16:00, Ranggong,Ujung Pandang,TM,adolescent,LK,R2
2407,Sunday,7/28/2019,4:30, Lasinrang,Ujung Pandang,TL,NOV,LK,R4
2408,Sunday,7/28/2019,15:40, Perintis Kemerdekaan,Biringkanaya,TL,NOV,NOV,R4
2409,Tuesday,7/30/2019,11:59, Sungai Saddang,Ujung Pandang,TL,NOV,LK,R2
2410,Tuesday,7/30/2019,23:28, Borong Raya,Manggala,TK,adult,NOV,R2
2411,Wednesday,7/31/2019,17:30, Lamuru,Bontoala,TL,NOV,LK,R2
2412,Tuesday,7/30/2019,15:00,Urip Sumuharjo,Panakkukang,TK,adolescent,NOV,R2
2413,Wednesday,7/31/2019,8:30, Insinyur Sutami,Tamalanrea,TK,adolescent,LK,R2
2414,Wednesday,7/31/2019,11:00, Adyaksa Baru,Panakkukang,TL,NOV,PR,R2
2415,Sunday,7/28/2019,9:10, Tamalanrea Raya,Tamalanrea,OC,adult,PR,R2
2416,Wednesday,7/31/2019,7:15, Poros Tamalanrea ,Tamalanrea,TK,adult,NOV,R2
2417,Thursday,8/1/2019,8:00, Perintis Kemerdekaan,Tamalanrea,TL,NOV,NOV,R2
2418,Wednesday,7/31/2019,19:45,Urip Sumuharjo ,Panakkukang,TM,adult,LK,R2
2419,Monday,7/29/2019,20:00, Gontang Raya,Tamalate,TL,NOV,NOV,R6
2420,Thursday,8/1/2019,6:36,Urip Sumuharjo,Panakkukang,TM,adolescent,NOV,R2
2421,Friday,8/2/2019,6:15, Pintu Bandar Udara Internasional Sultan Hasanuddin,Biringkanaya,TK,adult,NOV,R2
2422,Friday,8/2/2019,14:00, Tupai,Mamajang,TM,adolescent,NOV,R2
2423,Friday,8/2/2019,11:00, Paccerakkang,Biringkanaya,TK,child,LK,R2
2424,Saturday,8/3/2019,21:00, M. Yamin ,Makassar,TL,NOV,LK,R2
2425,Friday,7/26/2019,3:00, Bulogading ,Ujung Pandang,TB,adolescent,LK,R4
2426,Thursday,8/1/2019,14:00, Metro Tanjung Bunga ,Mariso,TL,NOV,LK,R2
2427,Sunday,8/4/2019,11:00, Pajaiang,Biringkanaya,TM,adult,LK,R2
2428,Sunday,8/4/2019,11:45, Perintis Kemerdekaan,Tamalanrea,TL,NOV,NOV,R4
2429,Saturday,8/3/2019,20:30, Perintis Kemerdekaan,Biringkanaya,TL,NOV,LK,R2
2430,Saturday,8/3/2019,14:00, Raya Kampus Unhas,Tamalanrea,TK,adult,LK,R2
2431,Sunday,8/4/2019,22:40, Paccerakkang,Biringkanaya,TK,adult,LK,R2
2432,Saturday,8/3/2019,13:30, Kumala II Selatan,Tamalate,TM,adult,LK,R2
2433,Sunday,8/4/2019,6:00,Urip Sumuharjo,Bontoala,TL,NOV,NOV,R2
2434,Saturday,8/3/2019,22:00, Mapala,Rappocini,TK,adolescent,NOV,R4
2435,Sunday,8/4/2019,21:30, Kompleks I ,Manggala,TK,adolescent,LK,R2
2436,Friday,8/2/2019,17:00, Veteran Selatan,Mamajang,TL,NOV,PR,R2
2437,Friday,8/2/2019,12:00, Kumala,Tamalate,TK,adult,PR,R4
2438,Sunday,8/4/2019,2:30,Urip Sumuharjo,Panakkukang,TK,adolescent,PR,R4
2439,Sunday,8/4/2019,23:45, Adyaksa Baru,Panakkukang,TK,adolescent,LK,R2
2440,Sunday,8/4/2019,2:00, Perintis Kemerdekaan,Tamalanrea,TK,adolescent,NOV,R4
2441,Friday,8/2/2019,20:30, Kemauan V ,Makassar,TM,adolescent,LK,R2
2442,Monday,8/5/2019,16:00, Sam Ratulangi ,Mariso,TK,adult,PR,R4
2443,Thursday,8/1/2019,8:00, Perintis Kemerdekaan,Biringkanaya,TM,adolescent,LK,R2
2444,Monday,8/5/2019,11:00, Monginsidi,Ujung Pandang,TK,adult,LK,R4
2445,Saturday,8/3/2019,11:00, Karantina,Panakkukang,TL,NOV,NOV,R2
