NO,HARI,TGL,JAM,JALAN,KECAMATAN,JENIS KECELAKAAN,UMUR,JENIS KELAMIN,KENDARAAN TERSANGKA
1017,Monday,3/13/2020,7:12,METRO TANJUNG BUNGA,Tamalate,TK,adolescent,LK,R4
1018,Wednesday,7/15/2020,7:12,Pongtiku,Tallo,TK,adult,PR,R2
1019,Thursday,7/16/2020,0:00,PERINTIS KEMERDEKAAN,Tamalanrea,OC,adult,PR,R2
1020,Thursday,7/16/2020,0:00,Ade Irma Nasution,Tallo,TK,adolescent,LK,R2
1021,Thursday,7/16/2020,0:00,Ade Irma Nasution,Tallo,TK,adolescent,LK,R2
1022,Friday,7/10/2020,0:00,Tamalanrea Raya,Tamalanrea,OC,adult,LK,R2
1023,Friday,7/17/2020,0:00,Cendrawasih,Mariso,TL,NOV,NOV,R4
1024,Thursday,7/16/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R2
1025,Friday,7/17/2020,3:36,PERINTIS KEMERDEKAAN,Tamalanrea,TL,adult,LK,R2
1026,Saturday,7/18/2020,0:00,DG TATA RAYA,Tamalate,TL,NOV,NOV,R2
1027,Saturday,7/18/2020,0:00,SULTAN ALAUDDIN,Tamalate,OC,adolescent,LK,R2
1028,Sunday,7/19/2020,7:12,Borong Raya,Manggala,TL,NOV,NOV,R2
1029,Monday,7/20/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,OC,adolescent,LK,R2
1030,Monday,7/20/2020,7:12,Penghibur,Ujung Pandang,TK,adult,LK,R2
1031,Tuesday,7/21/2020,3:36,GUNUNG LATIMOJONG,Makassar,TK,adult,LK,R2
1032,Tuesday,7/21/2020,3:36,PERINTIS KEMERDEKAAN,Biringkanaya,TL,NOV,NOV,R2
1033,Wednesday,7/15/2020,7:12,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adult,PR,R2
1034,Wednesday,7/22/2020,0:00,Hertasning,Rappocini,OC,adult,PR,R2
1035,Wednesday,7/22/2020,7:12,Bukit Bontoloe,Tamalanrea,TL,NOV,NOV,R2
1036,Thursday,7/16/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TL,NOV,NOV,R2
1037,Thursday,7/23/2020,0:00,DG TATA III,Tamalate,TM,adolescent,LK,R2
1038,Thursday,5/7/2020,0:00,Poros NTI MKS,Tamalanrea,OC,adult,LK,R2
1039,Friday,7/17/2020,7:12,Tamangapa Raya,Manggala,OC,adult,PR,R2
1040,Friday,7/24/2020,0:00,SERIGALA,Mamajang,TK,adult,LK,R4
1041,Monday,7/20/2020,0:00,IR. Juanda,Tallo,TK,adolescent,LK,R2
1042,Sunday,7/26/2020,3:36,PERINTIS KEMERDEKAAN,Panakukang,TL,NOV,NOV,R4
1043,Sunday,7/26/2020,4:48,Pintu Keluar Terminal Daya,Biringkanaya,OC,adult,PR,R2
1044,Sunday,7/26/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R2
1045,Sunday,7/26/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R4
1046,Monday,7/27/2020,9:36,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R4
1047,Monday,7/27/2020,0:00,Ujung Bori,Manggala,TK,adult,PR,R2
1048,Wednesday,7/29/2020,7:12,Lamadukelleng,Ujung Pandang,T,adult,PR,R2
1049,Wednesday,7/29/2020,0:00,SULTAN ALAUDDIN,Rappocini,TL,NOV,NOV,R3
1050,Wednesday,7/22/2020,0:00,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,PR,R4
1051,Wednesday,7/29/2020,0:00,SUNGAI SADDANG,Makassar,TK,adult,LK,R4
1052,Wednesday,7/29/2020,7:12,SULTAN HASANUDDIN,Ujung Pandang,TL,NOV,NOV,R4
1053,Saturday,7/25/2020,7:12,Veteran Utara,Makassar,TM,adult,LK,R4
1054,Thursday,7/30/2020,7:12,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R4
1055,Friday,7/31/2020,9:36,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,PR,R2
1056,Friday,7/31/2020,7:12,Toddopuli Raya,Panakukang,T,adult,LK,R2
1057,Friday,7/31/2020,0:00,Veteran Utara,Makassar,TK,adolescent,LK,R2
1058,Friday,7/31/2020,0:00,Poros Perumnas Sudiang,Biringkanaya,TL,NOV,NOV,R2
1059,Saturday,8/1/2020,3:36,Mannuruki,Biringkanaya,TK,adult,LK,R2
1060,Friday,7/31/2020,7:12,Veteran Utara,Bontoala,TK,adolescent,LK,R2
1061,Sunday,8/2/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,OC,adult,LK,R2
1062,Sunday,8/2/2020,0:00,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adult,LK,R2
1063,Monday,8/3/2020,7:12,Nuri Baru,Mariso,TK,adult,LK,R2
1064,Friday,7/31/2020,0:00,H. Kalla,Panakukang,TK,adolescent,PR,R2
1065,Monday,8/3/2020,0:43,URIP SUMOHARJO,Panakukang,T,adult,LK,R2
1066,Tuesday,8/4/2020,7:12,JENDRAL SUDIRMAN,Ujung Pandang,TL,NOV,NOV,R2
1067,Tuesday,8/4/2020,0:00,Poros BPS,Biringkanaya,OC,adolescent,LK,R2
1068,Tuesday,8/4/2020,0:00,Galangan Kapal,Tallo,TK,adult,LK,R3
1069,Tuesday,7/28/2020,7:12,Toddopuli Raya Timur,Panakukang,TK,adolescent,LK,R2
1070,Tuesday,8/4/2020,7:12,URIP SUMOHARJO,Panakukang,TM,adult,LK,R2
1071,Thursday,8/6/2020,0:00,Bandang,Bontoala,TM,adult,LK,R2
1072,Tuesday,8/4/2020,7:12,Kima Raya 2,Biringkanaya,OC,adult,LK,R2
1073,Tuesday,8/4/2020,7:12,ABDULLAH DG SIRUA,Panakukang,TK,adult,LK,R4
1074,Thursday,8/6/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,NOV,R4
1075,Friday,8/7/2020,0:00,Fly Over,Panakukang,TL,NOV,NOV,R2
1076,Sunday,8/9/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,OC,adult,PR,R2
1077,Sunday,8/9/2020,2:24,Veteran Selatan,Mamajang,TK,adult,LK,R2
1078,Saturday,8/8/2020,0:00,Kesadaran Raya,Tamalanrea,TL,NOV,NOV,R4
1079,Sunday,8/9/2020,0:00,Hertasning,Rappocini,OC,adult,LK,R2
1080,Friday,8/7/2020,7:12,Poros Perumnas Sudiang,Biringkanaya,TL,NOV,NOV,R2
1081,Friday,8/7/2020,0:00,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R2
1082,Saturday,8/8/2020,7:12,ANDALAS,Bontoala,TL,NOV,NOV,R2
1083,Sunday,8/16/2020,2:24,Datu Museng,Ujung Pandang,TL,NOV,NOV,R4
1084,Saturday,8/15/2020,0:00,ADHYAKSA BARU,Panakukang,TK,adolescent,PR,R4
1085,Sunday,8/16/2020,6:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adolescent,PR,R2
1086,Monday,8/17/2020,7:12,IR. SUTAMI,Tamalanrea,OC,adult,LK,R4
1087,Monday,8/17/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,OC,adolescent,LK,R2
1088,Monday,8/17/2020,3:36,Tamalanrea Raya,Tamalanrea,TK,adult,LK,R4
1089,Saturday,8/1/2020,9:36,Paccinang Raya,Panakukang,TK,adult,LK,R4
1090,Tuesday,8/18/2020,0:00,Barawaja,Panakukang,TK,adult,LK,R4
1091,Wednesday,8/19/2020,12:00,URIP SUMOHARJO,Panakukang,T,adult,LK,R2
1092,Wednesday,8/19/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adolescent,PR,R2
1093,Wednesday,8/19/2020,0:00,DG.TATA 1,Tamalate,TL,NOV,NOV,R2
1094,Wednesday,8/19/2020,0:00,Bambapuang,Makassar,TM,adult,PR,R4
1095,Monday,8/17/2020,12:00,Gunung Batu Putih,Makassar,TK,adult,LK,R4
1096,Tuesday,8/18/2020,12:00,Masjid Raya,Bontoala,TL,NOV,NOV,R4
1097,Wednesday,8/19/2020,0:00,Pandang Raya,Panakukang,TK,adolescent,LK,R2
1098,Monday,8/10/2020,7:12,PERINTIS KEMERDEKAAN,Tamalanrea,OC,adult,PR,R2
1099,Thursday,8/20/2020,7:12,KUMALA,Tamalate,TK,adult,LK,R3
1100,Friday,8/21/2020,0:00,Biring Romang,Tamalanrea,TM,adolescent,LK,R2
1101,Monday,8/17/2020,0:00,METRO TANJUNG BUNGA,Tamalate,TK,adult,LK,R2
1102,Saturday,8/22/2020,7:12,Borong Raya,Manggala,TL,NOV,NOV,R4
1103,Saturday,8/22/2020,0:00,Komp. Unhas,Tamalanrea,OC,adolescent,PR,R2
1104,Friday,8/21/2020,7:12,Monginsidi,Makassar,OC,adult,PR,R2
1105,Sunday,8/23/2020,10:48,Kima Raya,Biringkanaya,TK,adult,LK,R2
1106,Monday,8/24/2020,0:00,HAJI BAU MKS,Ujung Pandang,TK,adolescent,LK,R4
1107,Tuesday,8/25/2020,0:00,Penghibur,Ujung Pandang,TL,NOV,NOV,R2
1108,Sunday,8/16/2020,3:36,Gunung Merapi,Ujung Pandang,OC,adult,LK,R2
1109,Monday,8/24/2020,0:00,Kelapa 3,Panakukang,TL,NOV,NOV,R3
1110,Sunday,8/23/2020,0:00,Banta - Bantaeng,Rappocini,TK,adolescent,LK,R2
1111,Tuesday,8/25/2020,7:12,DG TATA RAYA,Tamalate,TL,NOV,NOV,R2
1112,Tuesday,8/25/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,OC,adult,LK,R2
1113,Wednesday,8/26/2020,3:36,Pasar Ikan,Ujung Pandang,TL,NOV,NOV,R2
1114,Saturday,8/22/2020,0:00,EMMY SAELAN,Rappocini,TL,NOV,NOV,R2
1115,Tuesday,8/25/2020,0:00,Ir. Juanda,Tallo,TL,NOV,NOV,R2
1116,Thursday,8/27/2020,0:00,AHMAD YANI,Ujung Pandang,TM,adolescent,LK,R2
1117,Wednesday,8/26/2020,7:12,IR. SUTAMI,Tamalanrea,OC,adult,PR,R2
1118,Tuesday,8/26/2020,0:00,IR. SUTAMI,Tamalanrea,OC,adolescent,LK,R2
1119,Saturday,8/15/2020,0:00,Veteran Utara,Bontoala,TL,NOV,NOV,R2
1120,Wednesday,8/26/2020,10:48,Veteran Utara,Makassar,TK,adult,LK,R2
1121,Thursday,8/27/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R2
1122,Thursday,8/27/2020,7:12,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R6
1123,Wednesday,8/26/2020,7:12,Bandang,Bontoala,TK,adolescent,LK,R2
1124,Sunday,8/30/2020,7:12,SULTAN ALAUDDIN,Rappocini,OC,adolescent,LK,R2
1125,Friday,8/28/2020,0:00,BTN MINASA UPA,Rappocini,TL,NOV,NOV,R2
1126,Friday,8/28/2020,10:48,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R2
1127,Friday,8/28/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,TL,NOV,NOV,R2
1128,Sunday,8/13/2020,4:48,Cendrawasih,Mariso,TL,NOV,NOV,R4
1129,Monday,8/31/2020,0:00,Kapasa Raya,Tamalanrea,TL,NOV,NOV,R4
1130,Saturday,8/29/2020,7:12,Kesadaran,Panakukang,OC,adult,LK,R2
1131,Monday,8/31/2020,7:12,Lamadukelleng,Ujung Pandang,TL,NOV,NOV,R4
1132,Monday,8/31/2020,3:36,PENGAYOMAN,Panakukang,OC,adult,LK,R2
1133,Tuesday,9/1/2020,1:12,Patene,Biringkanaya,OC,adult,LK,R2
1134,Tuesday,9/1/2020,7:12,HAJI BAU MKS,Ujung Pandang,TL,NOV,NOV,R4
1135,Tuesday,9/1/2020,0:00,St. Mollah,Panakukang,TM,adolescent,LK,R2
1136,Wednesday,9/2/2020,7:12,Hertasning,Panakukang,TL,NOV,NOV,R2
1137,Tuesday,9/1/2020,0:00,METRO TANJUNG BUNGA,Mariso,OC,adult,LK,R2
1138,Tuesday,9/1/2020,0:00,Dahkota,Biringkanaya,T,adolescent,LK,R2
1139,Tuesday,9/1/2020,0:00,ANDI TONRO,Tamalate,T,adolescent,PR,R2
1140,Thursday,9/3/2020,0:00,Paccerakang,Biringkanaya,TK,adult,LK,R2
1141,Sunday,8/30/2020,7:12,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,PR,R2
1142,Saturday,9/5/2020,0:00,Cendrawasih,Mamajang,TM,adolescent,LK,R2
1143,Saturday,9/5/2020,0:00,Lanto Dg. Pasewang,Mamajang,T,adolescent,LK,R2
1144,Friday,9/4/2020,0:00,Tallasa City,Tamalanrea,OC,adolescent,LK,R2
1145,Saturday,9/5/2020,7:12,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adult,LK,R2
1146,Saturday,9/5/2020,4:48,Rajawali,Mariso,TL,NOV,NOV,R4
1147,Sunday,9/6/2020,7:12,PERINTIS KEMERDEKAAN,Tamalanrea,TL,NOV,NOV,R2
1148,Sunday,9/6/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,PR,R2
1149,Sunday,9/6/2020,3:36,HAJI BAU MKS,Ujung Pandang,TK,adolescent,LK,R2
1150,Friday,9/4/2020,7:12,Veteran Utara,Makassar,TK,adolescent,LK,R2
1151,Saturday,9/5/2020,0:00,PERINTIS KEMERDEKAAN,Tamalanrea,OC,adolescent,LK,R2
1152,Saturday,9/5/2020,0:00,Pelita Raya,Rappocini,TK,adult,LK,R3
1153,Saturday,9/5/2020,0:00,Poros BPS,Biringkanaya,OC,adult,LK,R2
1154,Saturday,9/5/2020,3:36,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,PR,R2
1155,Monday,9/7/2020,0:00,GUNUNG BAWAKARAENG,Bontoala,TK,adult,LK,R2
1156,Monday,9/7/2020,0:00,Tallasa City,Tamalanrea,OC,adolescent,LK,R2
1157,Monday,8/31/2020,0:00,PAJJAIANG,Biringkanaya,OC,adult,PR,R2
1158,Wednesday,9/9/2020,7:12,AHMAD YANI,Ujung Pandang,TK,adult,LK,R2
1159,Thursday,9/10/2020,2:24,Panampu,Tallo,TK,adolescent,LK,R4
1160,Friday,8/28/2020,3:36,Veteran Selatan ,Makassar,TK,adult,LK,R2
1161,Monday,9/7/2020,0:00,SULTAN ALAUDDIN,Tamalate,TM,adult,LK,R2
1162,Wednesday,9/9/2020,7:12,Perumnas Antang,Manggala,TL,NOV,NOV,R2
1163,Friday,9/11/2020,0:00,Laccukang,Bontoala,TL,NOV,NOV,R4
1164,Thursday,9/10/2020,0:00,BTN Hartaco,Biringkanaya,TK,adolescent,LK,R4
1165,Thursday,9/3/2020,7:12,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R2
1166,Wednesday,9/9/2020,0:00,Tamalanrea Raya,Tamalanrea,TL,NOV,NOV,R4
1167,Wednesday,9/9/2020,4:48,Tamalanrea Raya,Tamalanrea,TL,NOV,NOV,R2
1168,Thursday,9/4/2020,9:36,Jendral Sudirman,Ujung Pandang,TK,adolescent,LK,R4
1169,Thursday,9/10/2020,3:36,PERINTIS KEMERDEKAAN,Tamalanrea,TL,NOV,NOV,R4
1170,Thursday,9/10/2020,4:48,Tamangapa Raya,Manggala,TL,NOV,NOV,R2
1171,Friday,9/11/2020,0:00,SULTAN HASANUDDIN,Ujung Pandang,TK,adolescent,LK,R2
1172,Thursday,9/10/2020,0:00,Rajawali,Mariso,TK,adult,LK,R4
1173,Friday,9/11/2020,0:00,Metro Tanjung Bunga,Tamalate,T,adult,LK,R2
1174,Saturday,9/12/2020,0:00,Indah 3,Tallo,T,adult,LK,R3
1175,Sunday,9/13/2020,2:24,GONTANG RAYA,Mamajang,TK,adult,LK,R4
1176,Thursday,9/10/2020,7:12,ABDULLAH DG SIRUA,Panakukang,T,adolescent,LK,R2
1177,Friday,9/11/2020,3:36,Metro Tanjung Bunga,Tamalate,TK,adult,LK,R2
1178,Wednesday,9/9/2020,3:36,URIP SUMOHARJO,Panakukang,TK,adolescent,LK,R2
1179,Saturday,9/12/2020,0:00,Raya Pendidikan,Rappocini,OC,adult,LK,R2
1180,Sunday,9/13/2020,0:00,Serigala,Mamajang,OC,adolescent,LK,R2
1181,Tuesday,9/15/2020,3:36,PAJJAIANG,Biringkanaya,TK,adult,LK,R2
1182,Tuesday,9/15/2020,0:00,PERINTIS KEMERDEKAAN,Biringkanaya,TM,adolescent,PR,R2
1183,Tuesday,9/15/2020,9:36,Mannuruki,Biringkanaya,TK,adolescent,PR,R2
1184,Tuesday,9/15/2020,7:12,ABU BAKAR LAMBOGO,Makassar,OC,adolescent,LK,R2
1185,Tuesday,9/15/2020,8:52,EMMY SAELAN,Rappocini,TK,adolescent,PR,R2
1186,Tuesday,9/15/2020,0:00,Berua Raya,Biringkanaya,T,adult,LK,R2
1187,Wednesday,9/16/2020,7:12,MUH YAMIN,Makassar,TL,NOV,NOV,R2
1188,Wednesday,9/16/2020,9:36,Bonto Dg. Ngirate,Rappocini,TB,adolescent,LK,R4
1189,Wednesday,9/9/2020,0:00,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R2
1190,Tuesday,9/15/2020,7:12,Metro Tanjung Bunga,Ujung Pandang,TL,NOV,NOV,R2
1191,Thursday,9/17/2020,7:12,RACING CENTER,Panakukang,T,adolescent,PR,R2
1192,Thursday,9/17/2020,7:12,Masjid Raya,Bontoala,OC,adolescent,LK,R2
1193,Friday,9/18/2020,7:12,GUNUNG BAWAKARAENG,Ujung Pandang,OC,adult,PR,R2
1194,Friday,9/18/2020,0:00,ANDI PANGERANG PETTARANI,Panakukang,OC,adolescent,LK,R2
1195,Sunday,9/20/2020,3:36,Tamangapa Raya,Manggala,TK,adult,LK,R2
1196,Sunday,9/20/2020,7:12,Metro Tanjung Bunga,Tamalate,OC,adult,PR,R2
1197,Monday,9/21/2020,0:00,Aroepala,Rappocini,TK,adult,LK,R2
1198,Sunday,9/13/2020,2:10,GUNUNG BAWAKARAENG,Bontoala,OC,adult,LK,R4
1199,Tuesday,9/15/2020,20:00,GUNUNG BAWAKARAENG,Bontoala,TL,NOV,NOV,R4
1200,Saturday,9/19/2020,19:30,Abd KADIR,Tamalate,TL,NOV,LK,R4
1201,Sunday,9/20/2020,21:40,Barawaja,Panakukang,TL,adult,LK,R2
1202,Monday,9/21/2020,9:00,Hertasning,Rappocini,TL,NOV,LK,R2
1203,Monday,9/21/2020,22:10,URIP SUMOHARJO,Makassar,TL,adolescent,LK,R2
1204,Tuesday,9/22/2020,11:20,PACCERAKKANG,Biringkanaya,TL,child,PR,R2
1205,Tuesday,9/22/2020,22:50,ABDULLAH DG SIRUA,Panakukang,TL,adolescent,LK,R2
1206,Friday,9/18/2020,11:00,PERINTIS KEMERDEKAAN,Tamalanrea,TL,adolescent,PR,R2
1207,Wednesday,9/23/2020,14:30,TALLASA CITY,Tamalanrea,TL,adolescent,LK,R2
1208,Wednesday,9/23/2020,14:00,Macini Raya,Tamalate,OC,adult,PR,R2
1209,Thursday,9/24/2020,7:12,Arung Teko,Biringkanaya,OC,adolescent,LK,R2
1210,Thursday,9/24/2020,0:00,Teuku Umar,Tallo,TK,adolescent,LK,R2
1211,Thursday,9/24/2020,3:36,PERINTIS KEMERDEKAAN,Biringkanaya,TK,adult,LK,R6
1212,Friday,9/25/2020,0:00,Metro Tanjung Bunga,Tamalate,OC,adolescent,LK,R4
1213,Thursday,9/24/2020,0:00,BOULEVARD,Panakukang,TK,adult,LK,R2
1214,Friday,9/25/2020,0:00,Batu Putih,Makassar,TK,adolescent,LK,R2
1215,Friday,9/25/2020,7:12,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R6
1216,Friday,9/25/2020,10:48,IR. SUTAMI,Tamalanrea,TK,adult,LK,R6
1217,Saturday,9/26/2020,0:00,Lanto Dg. Pasewang,Mamajang,TL,NOV,NOV,R2
1218,Friday,9/18/2020,0:00,Monginsidi,Makassar,TL,NOV,NOV,R2
1219,Thursday,9/24/2020,0:00,MAPPAODANG,Tamalate,TK,adolescent,LK,R2
1220,Friday,9/25/2020,0:00,Paccerakang,Biringkanaya,OC,adult,PR,R2
1221,Saturday,9/26/2020,0:00,Paccerakang,Biringkanaya,OC,adult,PR,R2
1222,Saturday,9/26/2020,7:12,IR. SUTAMI,Biringkanaya,TL,NOV,NOV,R2
1223,Saturday,9/26/2020,0:00,Jipang Raya,Rappocini,TK,adolescent,LK,R2
1224,Saturday,9/26/2020,0:00,Nuri Baru,Mariso,OC,adult,LK,R2
1225,Sunday,9/27/2020,7:12,ANGREK,Panakukang,TK,adolescent,LK,R2
1226,Sunday,9/27/2020,0:00,URIP SUMOHARJO,Panakukang,TK,adolescent,LK,R4
1227,Saturday,9/26/2020,7:12,Pa'baeng baeng,Tamalate,TK,adult,LK,R2
1228,Sunday,9/27/2020,7:12,YUSUF DG NGAWING,Rappocini,T,adolescent,LK,R2
1229,Sunday,9/27/2020,7:12,BARUGA ANTANG,Manggala,TK,adolescent,LK,R2
1230,Monday,9/28/2020,0:00,Sungai Cerekang,Bontoala,TL,NOV,NOV,R2
1231,Thursday,9/24/2020,0:00,Danau Tanjung Bunga,Tamalate,OC,adult,LK,R2
1232,Monday,9/28/2020,0:00,Metro Tanjung Bunga,Tamalate,T,adolescent,PR,R2
1233,Tuesday,9/29/2020,7:12,Kakak Tua,Mariso,TK,adult,NOV,R2
1234,Tuesday,9/29/2020,0:00,Sultan Abdullah,Tallo,TL,NOV,NOV,R4
1235,Thursday,10/1/2020,1:12,Nuri Baru,Mariso,TK,adult,LK,R2
1236,Thursday,10/1/2020,0:00,Sungai Saddang,Makassar,OC,adult,LK,R4
1237,Wednesday,9/9/2020,7:12,Aroepala,Rappocini,OC,adult,LK,R2
1238,Wednesday,9/30/2020,9:36,Jend M. Yusuf,Bontoala,TL,NOV,NOV,R4
1239,Friday,8/28/2020,7:12,URIP SUMOHARJO,Panakukang,TK,adult,LK,R4
1240,Friday,10/2/2020,0:00,URIP SUMOHARJO,Panakukang,OC,adult,LK,R2
1241,Saturday,10/3/2020,0:00,Inspeksi Kanal,Rappocini,TL,NOV,NOV,R2
1242,Saturday,10/3/2020,7:12,SUNGAI SADDANG,Ujung Pandang,TK,adolescent,LK,R2
1243,Saturday,10/4/2020,7:12,IR. SUTAMI,Biringkanaya,TB,adult,LK,R10
1244,Monday,10/5/2020,0:00,IR. SUTAMI,Tamalanrea,TL,NOV,NOV,R2
1245,Monday,10/5/2020,7:12,Sarifah,Panakukang,TK,adolescent,LK,R2
1246,Thursday,10/1/2020,0:00,Bulu dua,Makassar,OC,adolescent,LK,R2
1247,Tuesday,10/6/2020,3:36,URIP SUMOHARJO,Panakukang,TK,adult,LK,R2
1248,Monday,10/5/2020,7:12,ABDULLAH DG SIRUA,Panakukang,TL,NOV,NOV,R2
1249,Tuesday,10/6/2020,0:00,Metro Tanjung Bunga,Mariso,TM,adult,LK,R2
1250,Monday,10/5/2020,0:00,Metro Tanjung Bunga,Tamalanrea,T,adult,PR,R2
1251,Wednesday,10/7/2020,7:12,Rajawali,Mariso,TK,adult,LK,R2
1252,Tuesday,10/6/2020,0:00,Datu Museng,Ujung Pandang,TK,adult,LK,R4
1253,Thursday,10/8/2020,7:12,Hertasning,Rappocini,T,adolescent,LK,R2
1254,Thursday,10/8/2020,7:12,Tol Seksi IV,Tamalanrea,T,adult,PR,R4
1255,Friday,10/9/2020,7:12,ANDI PANGERANG PETTARANI,Rappocini,T,adult,LK,R2
1257,Saturday,10/10/2020,10:48,Fly Over,Panakukang,T,adult,LK,R2
1258,Saturday,10/10/2020,3:36,Cendrawasih,Mamajang,T,adult,LK,R2
1259,Sunday,10/11/2020,0:00,Metro Tanjung Bunga,Tamalate,OC,adult,LK,R2
1260,Friday,10/9/2020,7:12,Rappokaling,Tallo,T,adult,PR,R2
1261,Saturday,10/10/2020,0:00,Metro Tanjung Bunga,Tamalate,OC,adult,LK,R2
1262,Sunday,10/11/2020,7:12,Gunung Batu Putih,Makassar,TK,adult,LK,R4
1263,Wednesday,29/5/2019,3:36,RAJAWALI,Mariso,TK,adolescent,LK,R2
1264,Friday,31/5/2019,17:45,SANRANGAN,Biringkanaya,TK,adult,LK,R2
1265,Thursday,30/5/2019,8:30,BERUA RAYA,Biringkanaya,TM,adolescent,LK,R2
1266,Saturday,1/6/2019,17:45,PERINTIS KEMERDEKAAN,Tamalanrea,TK,adult,PR,R4
1267,Sunday,2/6/2019,16:30,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R4
1268,Sunday,2/6/2019,8:00,ANDI PANGERANG PETTARANI,Panakukang,TK,adult,LK,R2
1269,Friday,31/5/2019,9:00,SUNU,TALLO,TM,adult,PR,R2
1270,Sunday,2/6/2019,13:00,MACCINI RAYA,Makassar,TK,adult,PR,R2
1271,Monday,3/6/2019,17:00,URIP SUMOHARJO,BONTOALA,TL,NOV,NOV,R2
1272,Tuesday,4/6/2019,9:30,ANDALAS,BONTOALA,TK,NOV,LK,R2
1273,Monday,3/6/2019,4:00,VETERAN SELATAN,MAMAJANG,TL,NOV,NOV,R2
1274,Monday,3/6/2019,20:00,URIP SUMOHARJO,Panakukang,TL,NOV,NOV,R4
1275,Monday,3/6/2019,10:00,PACCEREKANG,Biringkanaya,TM,adult,NOV,R4
1276,Wednesday,5/6/2019,13:00,SULTAN ALAUDDIN,Rappocini,TK,adult,LK,R4
1277,Wednesday,5/6/2019,10:00,YOS UDARSO,BONTOALA,TL,NOV,NOV,R2
1278,Wednesday,5/6/2019,12:45,URIP SUMOHARJO,Panakukang,TK,adolescent,LK,R2
1279,Tuesday,4/6/2019,18:00,PACCEREKANG,Biringkanaya,TL,NOV,NOV,R3
1280,Wednesday,5/6/2019,12:30,AR HAKIM TALLO MKS,TALLO,TL,NOV,NOV,R2
1281,Wednesday,5/6/2019,9:00,EMMY SAELAN,Rappocini,TK,adult,LK,R2
1282,Wednesday,5/6/2019,1:00,Fly Over,Panakukang,TL,NOV,NOV,R2
1283,Wednesday,5/6/2019,21:30,AL MARKAS,BONTOALA,TL,NOV,NOV,R2
1284,Wednesday,5/6/2019,3:00,TUPAI,MAMAJANG,TL,NOV,NOV,R2
1285,Friday,7/6/2019,12:30,GATOT SUBROTO,TALLO,TK,adolescent,PR,R2
1286,Friday,7/6/2019,7:00,METRO TANJUNG BUNGA,Tamalate,T,adolescent,LK,R2
1287,Friday,7/6/2019,5:30,DG RAJA,BONTOALA,TK,adolescent,PR,R2
1288,Friday,7/6/2019,8:00,Veteran Utara,BONTOALA,TM,adult,LK,R2
1289,Wednesday,5/6/2019,5:00,NIPA-NIPA,Manggala,TL,NOV,NOV,R2
1290,Friday,7/6/2019,2:30,COKONURI,Rappocini,TK,adolescent,LK,R2
1291,Monday,21/4/2019,10:30,PENGAYOMAN,Panakukang,TK,adult,LK,R2
1292,Friday,7/6/2019,2:30,CAMPAGAYA,Panakukang,TL,NOV,NOV,R2
1293,Sunday,9/6/2019,23:00,PAJJAIANG,Biringkanaya,TL,NOV,NOV,R4
1294,Sunday,9/6/2019,10:00,PERINTIS KEMERDEKAAN,Tamalanrea,TL,NOV,NOV,R2
1295,Friday,17/5/2019,8:00,IR. SUTAMI,Tamalanrea,TL,NOV,NOV,R4
1296,Tuesday,4/6/2019,11:00,KERUKUNAN,Tamalanrea,TK,adult,LK,R4
1297,Sunday,9/6/2019,14:30,BOUNGENVILLE CAFE POLARIE,Panakukang,TL,NOV,NOV,R2
1298,Tuesday,11/6/2019,14:00,BONTOLEMPANGAN,Ujung Pandang,TL,NOV,NOV,R4
