day,time,address,district,accident_type,age,gender,suspect_vehicle,lat,long
Saturday,Morning,perintis kemerdekaan,tamalanrea,TM,child,LK,R2,-5.1257155,119.5040112
Sunday,Morning,panampu,tallo,TK,adolescent,LK,R2,-5.1143265,119.4269747
Friday,Night,metro tanjung bunga,tamalate,TB,adult,PR,R4,-5.1661576,119.3917443
Monday,Morning,perintis kemerdekaan,tamalanrea,TL,NOV,NOV,R4,-5.1257155,119.5040112
Saturday,Morning,keindahan,biringkanaya,TK,adolescent,LK,R2,-5.1358981,119.5186684
Tuesday,Night,gunung bawakaraeng,bontoala,TK,adult,LK,R2,-5.1349865,119.425356
Saturday,Night,cendrawasih,mariso,TK,NOV,LK,R2,-5.1563543,119.412237
Wednesday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R4,-5.0876472,119.5188217
Wednesday,Night,perintis kemerdekaan,biringkanaya,TK,adult,LK,R4,-5.0876472,119.5188217
Monday,Night,pengayoman,panakukang,TL,NOV,NOV,R4,-5.1581728,119.44619225187714
Wednesday,Night,mappaodang,tamalate,TK,adolescent,LK,R4,-5.1732205,119.4158686
Thursday,Night,tamangapa raya,manggala,TL,NOV,NOV,R6,-5.1767373,119.4843844
Thursday,Night,perintis kemerdekaan,biringkanaya,TL,NOV,NOV,R2,-5.0876472,119.5188217
Sunday,Morning,gunung bawakaraeng,bontoala,TL,NOV,NOV,R2,-5.1349865,119.425356
Thursday,Night,kumala,tamalate,TL,NOV,NOV,R4,-5.1751691,119.4167077
Thursday,Night,andi tonro,tamalate,TL,NOV,NOV,R2,-5.1725621,119.4203633
Friday,Night,boulevard,panakukang,TK,adult,LK,R2,-5.157779400000001,119.44617103479291
Thursday,Morning,perintis kemerdekaan,biringkanaya,TK,adult,LK,R6,-5.0876472,119.5188217
Friday,Night,sultan alauddin,rappocini,TK,adolescent,LK,R4,-5.1847014,119.4408542
Friday,Morning,gunung latimojong,makassar,TK,adolescent,PR,R4,-5.1405404,119.4208275
Sunday,Morning,tupai,mamajang,TK,adult,LK,R2,-5.1604904,119.4202026
Sunday,Morning,tol reformasi,tallo,T,child,LK,R4,-5.1105854,119.4355002
Saturday,Night,sultan alauddin,rappocini,TK,adolescent,LK,R4,-5.1847014,119.4408542
Sunday,Morning,rappocini raya,rappocini,TL,NOV,NOV,R2,-5.1525914,119.4258648
Friday,Night,veteran selatan,mamajang,TK,adolescent,LK,R2,-5.1671547,119.419923
Friday,Night,metro tanjung bunga,tamalate,TL,NOV,NOV,R4,-5.1661576,119.3917443
Monday,Morning,tamalate 1,rappocini,TK,adult,PR,R2,-5.1675882,119.4479146
Sunday,Afternoon,mappaodang,mamajang,TL,NOV,NOV,R4,-5.1732205,119.4158686
Saturday,Morning,btn minasa upa,rappocini,TL,NOV,NOV,R2,-5.1872008,119.4575791
